"Dataset Name","Dataset Code","Country Name","Country Code","Indicator Name","Indicator Code","Metadata Attribute","Metadata Value","Frequency"
"Financial Access Survey (FAS)","FAS","Aruba, Kingdom of the Netherlands","314","","","Country ISO 3 Code","ABW",""
"Financial Access Survey (FAS)","FAS","Aruba, Kingdom of the Netherlands","314","","","Country Name","Aruba, Kingdom of the Netherlands",""
"Financial Access Survey (FAS)","FAS","Aruba, Kingdom of the Netherlands","314","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Aruba, Kingdom of the Netherlands","314","","","Country SDMX Code","AW",""
"Financial Access Survey (FAS)","FAS","Aruba, Kingdom of the Netherlands","314","","","Country SDMX Name","Aruba",""
"Financial Access Survey (FAS)","FAS","Aruba, Kingdom of the Netherlands","314","","","Country Short Name","Aruba",""
"Financial Access Survey (FAS)","FAS","Aruba, Kingdom of the Netherlands","314","","","Country Source Code","314",""
"Financial Access Survey (FAS)","FAS","Australia","193","","","Country Code","193",""
"Financial Access Survey (FAS)","FAS","Australia","193","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Australia","193","","","Country Full Name","Australia",""
"Financial Access Survey (FAS)","FAS","Australia","193","","","Country ISO 2 Code","AU",""
"Financial Access Survey (FAS)","FAS","Australia","193","","","Country ISO 3 Code","AUS",""
"Financial Access Survey (FAS)","FAS","Australia","193","","","Country Name","Australia",""
"Financial Access Survey (FAS)","FAS","Australia","193","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Australia","193","","","Country SDMX Code","AU",""
"Financial Access Survey (FAS)","FAS","Australia","193","","","Country SDMX Name","Australia",""
"Financial Access Survey (FAS)","FAS","Australia","193","","","Country Short Name","Australia",""
"Financial Access Survey (FAS)","FAS","Australia","193","","","Country Source Code","193",""
"Financial Access Survey (FAS)","FAS","Austria","122","","","Country Code","122",""
"Financial Access Survey (FAS)","FAS","Austria","122","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Austria","122","","","Country Full Name","Austria",""
"Financial Access Survey (FAS)","FAS","Austria","122","","","Country ISO 2 Code","AT",""
"Financial Access Survey (FAS)","FAS","Austria","122","","","Country ISO 3 Code","AUT",""
"Financial Access Survey (FAS)","FAS","Austria","122","","","Country Name","Austria",""
"Financial Access Survey (FAS)","FAS","Austria","122","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Austria","122","","","Country SDMX Code","AT",""
"Financial Access Survey (FAS)","FAS","Austria","122","","","Country SDMX Name","Austria",""
"Financial Access Survey (FAS)","FAS","Austria","122","","","Country Short Name","Austria",""
"Financial Access Survey (FAS)","FAS","Austria","122","","","Country Source Code","122",""
"Financial Access Survey (FAS)","FAS","Azerbaijan, Rep. of","912","","","Country Code","912",""
"Financial Access Survey (FAS)","FAS","Azerbaijan, Rep. of","912","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Azerbaijan, Rep. of","912","","","Country Full Name","Azerbaijan, Republic of",""
"Financial Access Survey (FAS)","FAS","Azerbaijan, Rep. of","912","","","Country ISO 2 Code","AZ",""
"Financial Access Survey (FAS)","FAS","Azerbaijan, Rep. of","912","","","Country ISO 3 Code","AZE",""
"Financial Access Survey (FAS)","FAS","Azerbaijan, Rep. of","912","","","Country Name","Azerbaijan, Rep. of",""
"Financial Access Survey (FAS)","FAS","Azerbaijan, Rep. of","912","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Azerbaijan, Rep. of","912","","","Country SDMX Code","AZ",""
"Financial Access Survey (FAS)","FAS","Azerbaijan, Rep. of","912","","","Country SDMX Name","Azerbaijan",""
"Financial Access Survey (FAS)","FAS","Azerbaijan, Rep. of","912","","","Country Short Name","Azerbaijan",""
"Financial Access Survey (FAS)","FAS","Azerbaijan, Rep. of","912","","","Country Source Code","912",""
"Financial Access Survey (FAS)","FAS","Bahamas, The","313","","","Country Code","313",""
"Financial Access Survey (FAS)","FAS","Bahamas, The","313","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Bahamas, The","313","","","Country Full Name","Bahamas, The",""
"Financial Access Survey (FAS)","FAS","Bahamas, The","313","","","Country ISO 2 Code","BS",""
"Financial Access Survey (FAS)","FAS","Bahamas, The","313","","","Country ISO 3 Code","BHS",""
"Financial Access Survey (FAS)","FAS","Bahamas, The","313","","","Country Name","Bahamas, The",""
"Financial Access Survey (FAS)","FAS","Bahamas, The","313","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Bahamas, The","313","","","Country SDMX Code","BS",""
"Financial Access Survey (FAS)","FAS","Bahamas, The","313","","","Country SDMX Name","Bahamas",""
"Financial Access Survey (FAS)","FAS","Bahamas, The","313","","","Country Short Name","The Bahamas",""
"Financial Access Survey (FAS)","FAS","Bahamas, The","313","","","Country Source Code","313",""
"Financial Access Survey (FAS)","FAS","Bahrain, Kingdom of","419","","","Country Code","419",""
"Financial Access Survey (FAS)","FAS","Bahrain, Kingdom of","419","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Bahrain, Kingdom of","419","","","Country Full Name","Bahrain, Kingdom of",""
"Financial Access Survey (FAS)","FAS","Bahrain, Kingdom of","419","","","Country ISO 2 Code","BH",""
"Financial Access Survey (FAS)","FAS","Bahrain, Kingdom of","419","","","Country ISO 3 Code","BHR",""
"Financial Access Survey (FAS)","FAS","Bahrain, Kingdom of","419","","","Country Name","Bahrain, Kingdom of",""
"Financial Access Survey (FAS)","FAS","Bahrain, Kingdom of","419","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Bahrain, Kingdom of","419","","","Country SDMX Code","BH",""
"Financial Access Survey (FAS)","FAS","Bahrain, Kingdom of","419","","","Country SDMX Name","Bahrain",""
"Financial Access Survey (FAS)","FAS","Bahrain, Kingdom of","419","","","Country Short Name","Bahrain",""
"Financial Access Survey (FAS)","FAS","Bahrain, Kingdom of","419","","","Country Source Code","419",""
"Financial Access Survey (FAS)","FAS","Bangladesh","513","","","Country Code","513",""
"Financial Access Survey (FAS)","FAS","Bangladesh","513","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Bangladesh","513","","","Country Full Name","Bangladesh",""
"Financial Access Survey (FAS)","FAS","Bangladesh","513","","","Country ISO 2 Code","BD",""
"Financial Access Survey (FAS)","FAS","Bangladesh","513","","","Country ISO 3 Code","BGD",""
"Financial Access Survey (FAS)","FAS","Bangladesh","513","","","Country Name","Bangladesh",""
"Financial Access Survey (FAS)","FAS","Bangladesh","513","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Bangladesh","513","","","Country SDMX Code","BD",""
"Financial Access Survey (FAS)","FAS","Bangladesh","513","","","Country SDMX Name","Bangladesh",""
"Financial Access Survey (FAS)","FAS","Bangladesh","513","","","Country Short Name","Bangladesh",""
"Financial Access Survey (FAS)","FAS","Bangladesh","513","","","Country Source Code","513",""
"Financial Access Survey (FAS)","FAS","Barbados","316","","","Country Code","316",""
"Financial Access Survey (FAS)","FAS","Barbados","316","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Barbados","316","","","Country Full Name","Barbados",""
"Financial Access Survey (FAS)","FAS","Barbados","316","","","Country ISO 2 Code","BB",""
"Financial Access Survey (FAS)","FAS","Barbados","316","","","Country ISO 3 Code","BRB",""
"Financial Access Survey (FAS)","FAS","Barbados","316","","","Country Name","Barbados",""
"Financial Access Survey (FAS)","FAS","Barbados","316","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Barbados","316","","","Country SDMX Code","BB",""
"Financial Access Survey (FAS)","FAS","Barbados","316","","","Country SDMX Name","Barbados",""
"Financial Access Survey (FAS)","FAS","Barbados","316","","","Country Short Name","Barbados",""
"Financial Access Survey (FAS)","FAS","Barbados","316","","","Country Source Code","316",""
"Financial Access Survey (FAS)","FAS","Belarus, Rep. of","913","","","Country Code","913",""
"Financial Access Survey (FAS)","FAS","Belarus, Rep. of","913","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Belarus, Rep. of","913","","","Country Full Name","Belarus, Republic of",""
"Financial Access Survey (FAS)","FAS","Belarus, Rep. of","913","","","Country ISO 2 Code","BY",""
"Financial Access Survey (FAS)","FAS","Belarus, Rep. of","913","","","Country ISO 3 Code","BLR",""
"Financial Access Survey (FAS)","FAS","Belarus, Rep. of","913","","","Country Name","Belarus, Rep. of",""
"Financial Access Survey (FAS)","FAS","Belarus, Rep. of","913","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Belarus, Rep. of","913","","","Country SDMX Code","BY",""
"Financial Access Survey (FAS)","FAS","Belarus, Rep. of","913","","","Country SDMX Name","Belarus",""
"Financial Access Survey (FAS)","FAS","Belarus, Rep. of","913","","","Country Short Name","Belarus",""
"Financial Access Survey (FAS)","FAS","Belarus, Rep. of","913","","","Country Source Code","913",""
"Financial Access Survey (FAS)","FAS","Belgium","124","","","Country Code","124",""
"Financial Access Survey (FAS)","FAS","Belgium","124","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Belgium","124","","","Country Full Name","Belgium",""
"Financial Access Survey (FAS)","FAS","Belgium","124","","","Country ISO 2 Code","BE",""
"Financial Access Survey (FAS)","FAS","Belgium","124","","","Country ISO 3 Code","BEL",""
"Financial Access Survey (FAS)","FAS","Belgium","124","","","Country Name","Belgium",""
"Financial Access Survey (FAS)","FAS","Belgium","124","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Belgium","124","","","Country SDMX Code","BE",""
"Financial Access Survey (FAS)","FAS","Belgium","124","","","Country SDMX Name","Belgium",""
"Financial Access Survey (FAS)","FAS","Belgium","124","","","Country Short Name","Belgium",""
"Financial Access Survey (FAS)","FAS","Belgium","124","","","Country Source Code","124",""
"Financial Access Survey (FAS)","FAS","Belize","339","","","Country Code","339",""
"Financial Access Survey (FAS)","FAS","Belize","339","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Belize","339","","","Country Full Name","Belize",""
"Financial Access Survey (FAS)","FAS","Belize","339","","","Country ISO 2 Code","BZ",""
"Financial Access Survey (FAS)","FAS","Belize","339","","","Country ISO 3 Code","BLZ",""
"Financial Access Survey (FAS)","FAS","Belize","339","","","Country Name","Belize",""
"Financial Access Survey (FAS)","FAS","Belize","339","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Belize","339","","","Country SDMX Code","BZ",""
"Financial Access Survey (FAS)","FAS","Belize","339","","","Country SDMX Name","Belize",""
"Financial Access Survey (FAS)","FAS","Belize","339","","","Country Short Name","Belize",""
"Financial Access Survey (FAS)","FAS","Belize","339","","","Country Source Code","339",""
"Financial Access Survey (FAS)","FAS","Benin","638","","","Country Code","638",""
"Financial Access Survey (FAS)","FAS","Benin","638","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Benin","638","","","Country Full Name","Benin",""
"Financial Access Survey (FAS)","FAS","Benin","638","","","Country ISO 2 Code","BJ",""
"Financial Access Survey (FAS)","FAS","Benin","638","","","Country ISO 3 Code","BEN",""
"Financial Access Survey (FAS)","FAS","Benin","638","","","Country Name","Benin",""
"Financial Access Survey (FAS)","FAS","Benin","638","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Benin","638","","","Country SDMX Code","BJ",""
"Financial Access Survey (FAS)","FAS","Benin","638","","","Country SDMX Name","Benin",""
"Financial Access Survey (FAS)","FAS","Benin","638","","","Country Short Name","Benin",""
"Financial Access Survey (FAS)","FAS","Benin","638","","","Country Source Code","638",""
"Financial Access Survey (FAS)","FAS","Bhutan","514","","","Country Code","514",""
"Financial Access Survey (FAS)","FAS","Bhutan","514","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Bhutan","514","","","Country Full Name","Bhutan",""
"Financial Access Survey (FAS)","FAS","Bhutan","514","","","Country ISO 2 Code","BT",""
"Financial Access Survey (FAS)","FAS","Bhutan","514","","","Country ISO 3 Code","BTN",""
"Financial Access Survey (FAS)","FAS","Bhutan","514","","","Country Name","Bhutan",""
"Financial Access Survey (FAS)","FAS","Bhutan","514","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Bhutan","514","","","Country SDMX Code","BT",""
"Financial Access Survey (FAS)","FAS","Bhutan","514","","","Country SDMX Name","Bhutan",""
"Financial Access Survey (FAS)","FAS","Bhutan","514","","","Country Short Name","Bhutan",""
"Financial Access Survey (FAS)","FAS","Bhutan","514","","","Country Source Code","514",""
"Financial Access Survey (FAS)","FAS","Bolivia","218","","","Country Code","218",""
"Financial Access Survey (FAS)","FAS","Bolivia","218","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Bolivia","218","","","Country Full Name","Bolivia",""
"Financial Access Survey (FAS)","FAS","Bolivia","218","","","Country ISO 2 Code","BO",""
"Financial Access Survey (FAS)","FAS","Bolivia","218","","","Country ISO 3 Code","BOL",""
"Financial Access Survey (FAS)","FAS","Bolivia","218","","","Country Name","Bolivia",""
"Financial Access Survey (FAS)","FAS","Bolivia","218","","","Country Note","",""
"Financial Access Survey (FAS)","FAS","Bolivia","218","","","Country SDMX Code","BO",""
"Financial Access Survey (FAS)","FAS","Bolivia","218","","","Country SDMX Name","Bolivia",""
"Financial Access Survey (FAS)","FAS","Bolivia","218","","","Country Short Name","Bolivia",""
"Financial Access Survey (FAS)","FAS","Bolivia","218","","","Country Source Code","218",""
"Financial Access Survey (FAS)","FAS","Bosnia and Herzegovina","963","","","Country Code","963",""
"Financial Access Survey (FAS)","FAS","Bosnia and Herzegovina","963","","","Country Data Quality Assurance Framework","",""
"Financial Access Survey (FAS)","FAS","Bosnia and Herzegovina","963","","","Country Full Name","Bosnia and Herzegovina",""
"Financial Access Survey (FAS)","FAS","Bosnia and Herzegovina","963","","","Country ISO 2 Code","BA",""
"Financial Access Survey (FAS)","FAS","Bosnia and Herzegovina","963","","","Country ISO 3 Code","BIH",""
"Financial Access Survey (FAS)","FAS","Bosnia and Herzegovina","963","","","Country Name","Bosnia and Herzegovina",""
"Financial Access Survey (FAS)","FAS","Bosnia and Herzegovina","963","","","Country Note","",""
